,capital,faixa_remuneracao_media_sm,Analfabeto,Até 5ª Incompleto,5ª Completo Fundamental,6ª a 9ª Fundamental,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,Mestrado,Doutorado,sexo,ano,capital_code,sm_code,total_pessoas
0,porto_velho,"ate_0,50",0,3,7,46,11,194,85,28,96,30,1,F,2017,ro,0,500
1,porto_velho,"0,51_a_1,00",3,24,26,68,75,221,829,62,551,97,1,F,2017,ro,1,1956
2,porto_velho,"1,01_a_1,50",38,189,171,625,1173,1418,12917,756,7028,166,5,F,2017,ro,2,24481
3,porto_velho,"1,51_a_2,00",15,139,90,258,436,570,6226,445,4478,450,1,F,2017,ro,3,13107
4,porto_velho,"2,01_a_3,00",2,64,59,65,168,133,2603,434,7312,4011,10,F,2017,ro,4,14851
5,porto_velho,"3,01_a_4,00",0,54,11,89,392,18,1369,152,6404,927,6,F,2017,ro,5,9416
6,porto_velho,"4,01_a_5,00",0,4,9,24,32,14,657,79,2023,279,4,F,2017,ro,6,3121
7,porto_velho,"5,01_a_7,00",0,42,3,54,166,16,831,70,2430,282,10,F,2017,ro,7,3894
8,porto_velho,"7,01_a_10,00",0,3,0,6,25,7,238,38,1716,333,17,F,2017,ro,8,2366
9,porto_velho,"10,01_a_15,00",0,1,0,7,25,2,227,10,1224,349,54,F,2017,ro,9,1845
10,porto_velho,"15,01_a_20,00",0,0,0,0,1,1,69,2,467,56,7,F,2017,ro,10,596
11,porto_velho,"mais_de_20,00",0,0,0,2,0,1,11,1,458,72,9,F,2017,ro,11,545
12,rio_branco,"ate_0,50",0,0,0,13,4,134,52,9,13,0,0,F,2017,ac,0,225
13,rio_branco,"0,51_a_1,00",1,16,14,25,136,81,1130,179,153,4,0,F,2017,ac,1,1739
14,rio_branco,"1,01_a_1,50",25,334,289,363,951,492,10229,690,1076,6,1,F,2017,ac,2,14455
15,rio_branco,"1,51_a_2,00",1,102,44,236,354,112,3350,356,971,8,1,F,2017,ac,3,5534
16,rio_branco,"2,01_a_3,00",0,136,19,319,291,96,2957,336,5044,41,2,F,2017,ac,4,9239
17,rio_branco,"3,01_a_4,00",0,23,3,45,99,34,1230,130,3528,49,4,F,2017,ac,5,5141
18,rio_branco,"4,01_a_5,00",0,10,0,6,31,17,482,94,3160,50,3,F,2017,ac,6,3850
19,rio_branco,"5,01_a_7,00",0,1,0,3,34,16,303,53,2751,68,10,F,2017,ac,7,3229
20,rio_branco,"7,01_a_10,00",0,1,0,2,29,8,106,17,1393,83,3,F,2017,ac,8,1639
21,rio_branco,"10,01_a_15,00",0,0,0,1,10,0,98,11,920,42,22,F,2017,ac,9,1082
22,rio_branco,"15,01_a_20,00",0,0,0,0,0,0,12,2,299,11,5,F,2017,ac,10,324
23,rio_branco,"mais_de_20,00",0,0,0,0,0,0,4,1,249,15,9,F,2017,ac,11,269
24,manaus,"ate_0,50",1,5,1,83,50,1067,471,56,45,5,1,F,2017,am,0,1784
25,manaus,"0,51_a_1,00",9,58,52,250,540,1034,3701,257,467,22,6,F,2017,am,1,6390
26,manaus,"1,01_a_1,50",70,764,743,2844,6162,4267,54883,2775,4198,62,16,F,2017,am,2,76768
27,manaus,"1,51_a_2,00",9,658,409,591,1544,1069,25410,1785,10408,78,6,F,2017,am,3,41961
28,manaus,"2,01_a_3,00",1,344,81,332,643,358,15029,1760,12223,167,24,F,2017,am,4,30938
29,manaus,"3,01_a_4,00",2,134,26,68,290,97,4540,767,9974,129,16,F,2017,am,5,16027
30,manaus,"4,01_a_5,00",0,53,2,13,67,45,2784,471,5336,96,37,F,2017,am,6,8867
31,manaus,"5,01_a_7,00",0,34,8,21,90,55,2564,452,7504,126,32,F,2017,am,7,10854
32,manaus,"7,01_a_10,00",0,12,3,6,23,16,838,250,5773,209,62,F,2017,am,8,7130
33,manaus,"10,01_a_15,00",0,11,5,4,33,16,630,109,3000,147,113,F,2017,am,9,3955
34,manaus,"15,01_a_20,00",0,1,0,1,2,5,188,35,1194,44,24,F,2017,am,10,1470
35,manaus,"mais_de_20,00",0,0,0,0,0,1,64,19,1219,43,36,F,2017,am,11,1346
36,boa_vista,"ate_0,50",0,0,0,8,19,145,63,11,21,6,0,F,2017,rr,0,273
37,boa_vista,"0,51_a_1,00",1,10,15,36,176,179,828,76,231,3,0,F,2017,rr,1,1555
