,sm_code,ano,F,M
0,0,2006,28740,23472
1,0,2007,36240,27437
2,0,2008,30602,24591
3,0,2009,39735,30636
4,0,2010,44829,34177
5,0,2011,47955,37978
6,0,2012,63155,43437
7,0,2013,61225,42921
8,0,2014,43370,40495
9,0,2015,46508,43173
10,0,2016,50217,44990
11,0,2017,53187,47980
12,0,2018,56644,51486
13,0,2019,62953,55636
14,0,2020,83967,75408
15,0,2021,90140,82443
16,1,2006,228026,198332
17,1,2007,269562,217091
18,1,2008,284504,226277
19,1,2009,304824,247459
20,1,2010,352377,275329
21,1,2011,320047,253172
22,1,2012,336389,282523
23,1,2013,326729,318687
24,1,2014,333518,311625
25,1,2015,316808,269458
26,1,2016,319780,293743
27,1,2017,321862,294240
28,1,2018,326370,253862
29,1,2019,386562,281354
30,1,2020,802757,616562
31,1,2021,597740,490074
32,2,2006,1555381,1643141
33,2,2007,1808475,1854215
34,2,2008,1975863,1990136
35,2,2009,2205822,2234720
36,2,2010,2420297,2422433
37,2,2011,2440618,2293177
38,2,2012,2731358,2540482
39,2,2013,2757404,2483210
40,2,2014,2668975,2313039
41,2,2015,2547771,2202236
42,2,2016,2551522,2209808
43,2,2017,2523078,2219489
44,2,2018,2430866,2165492
45,2,2019,2486242,2276587
46,2,2020,2305443,2302858
47,2,2021,2347844,2281253
48,3,2006,1010685,1342370
49,3,2007,1081610,1481779
50,3,2008,1120540,1571553
51,3,2009,1130858,1680089
52,3,2010,1212583,1835078
53,3,2011,1312777,1947938
54,3,2012,1325786,2027748
55,3,2013,1338299,2008223
56,3,2014,1415056,2003048
57,3,2015,1387357,1974070
58,3,2016,1320230,1822169
59,3,2017,1323672,1811823
60,3,2018,1347521,1835951
61,3,2019,1443068,1936352
62,3,2020,1206433,1662886
63,3,2021,1199439,1652727
64,4,2006,1032180,1519223
65,4,2007,1063947,1584561
66,4,2008,1096560,1680537
67,4,2009,1094676,1712530
68,4,2010,1141671,1809713
69,4,2011,1219344,1963374
70,4,2012,1230754,1937467
71,4,2013,1247103,1989400
72,4,2014,1325481,2105033
73,4,2015,1279810,2036862
74,4,2016,1226741,1846132
75,4,2017,1215966,1795666
76,4,2018,1232649,1798258
77,4,2019,1324765,1879853
78,4,2020,1174464,1646703
79,4,2021,1193468,1603954
80,5,2006,601534,848699
81,5,2007,615389,878481
82,5,2008,651357,892126
83,5,2009,672952,898437
84,5,2010,682864,929934
85,5,2011,700935,995683
86,5,2012,728061,991856
87,5,2013,739862,1017377
88,5,2014,754579,1023992
89,5,2015,731989,987511
90,5,2016,706098,921352
91,5,2017,691905,896864
92,5,2018,697642,903097
93,5,2019,703910,907630
94,5,2020,687746,825674
95,5,2021,715214,813737
96,6,2006,453510,564555
97,6,2007,461446,565329
98,6,2008,461654,570027
99,6,2009,466415,556689
100,6,2010,465788,589104
101,6,2011,478754,618297
102,6,2012,500642,624218
103,6,2013,502654,640274
104,6,2014,519557,671079
105,6,2015,499457,617832
106,6,2016,488280,578779
107,6,2017,480996,572275
108,6,2018,487595,566777
109,6,2019,477277,567339
110,6,2020,475434,537404
111,6,2021,482351,537805
112,7,2006,531539,648872
113,7,2007,548556,671377
114,7,2008,562183,715800
115,7,2009,561094,705878
116,7,2010,566730,704957
117,7,2011,615134,758103
118,7,2012,619738,767384
119,7,2013,609960,769741
120,7,2014,648311,792997
121,7,2015,637046,789508
122,7,2016,589638,709240
123,7,2017,581499,694904
124,7,2018,594583,703147
125,7,2019,581075,692185
126,7,2020,551401,656487
127,7,2021,568123,641164
128,8,2006,358069,468756
129,8,2007,364426,484163
130,8,2008,380576,508544
131,8,2009,369781,493079
132,8,2010,378362,515766
133,8,2011,410549,551601
134,8,2012,416827,548740
135,8,2013,422883,577646
136,8,2014,456638,607271
137,8,2015,459783,589120
138,8,2016,423942,536103
139,8,2017,413600,516547
140,8,2018,424864,527375
141,8,2019,411219,509395
142,8,2020,392027,493672
143,8,2021,404448,483808
144,9,2006,241418,339878
145,9,2007,248113,339914
146,9,2008,254787,356666
147,9,2009,256851,361832
148,9,2010,267937,384207
149,9,2011,298219,417749
150,9,2012,294651,406216
151,9,2013,304760,423992
152,9,2014,321581,443308
153,9,2015,328637,438781
154,9,2016,286997,399014
155,9,2017,277204,386652
156,9,2018,284284,393961
157,9,2019,263623,368847
158,9,2020,249843,370349
159,9,2021,252990,362208
160,10,2006,100572,175494
161,10,2007,102147,176962
162,10,2008,107748,185213
163,10,2009,102359,177258
164,10,2010,105019,183161
165,10,2011,115115,195194
166,10,2012,111537,196816
167,10,2013,113701,196555
168,10,2014,118910,201850
169,10,2015,122567,197719
170,10,2016,107201,178917
171,10,2017,103001,175602
172,10,2018,105292,180854
173,10,2019,103803,175452
174,10,2020,99141,171928
175,10,2021,102508,169545
176,11,2006,129993,291475
177,11,2007,128423,284677
178,11,2008,136566,300346
179,11,2009,132587,289439
180,11,2010,133296,293435
181,11,2011,141646,312099
182,11,2012,123099,275942
183,11,2013,123989,274230
184,11,2014,130528,283936
185,11,2015,134007,275805
186,11,2016,109477,236300
187,11,2017,108340,228414
188,11,2018,110258,229818
189,11,2019,112384,228629
190,11,2020,100892,210257
191,11,2021,98101,204297
